src_player,dest_gameid,relation
720662:Blossom,720662,PLAYED_IN
720662:Faker,720662,PLAYED_IN
720662:Bang,720662,PLAYED_IN
720662:Wolf,720662,PLAYED_IN
720686:Thal,720686,PLAYED_IN
720686:Blossom,720686,PLAYED_IN
720686:Faker,720686,PLAYED_IN
720686:Bang,720686,PLAYED_IN
720686:Wolf,720686,PLAYED_IN
720686:CuVee,720686,PLAYED_IN
720686:Haru,720686,PLAYED_IN
720686:Fly,720686,PLAYED_IN
720686:Ruler,720686,PLAYED_IN
720686:CoreJJ,720686,PLAYED_IN
690233:PieCakeLord,690233,PLAYED_IN
690233:MikeYeung,690233,PLAYED_IN
690233:Ablazeolive,690233,PLAYED_IN
690233:MrRallez,690233,PLAYED_IN
690233:Shady,690233,PLAYED_IN
690233:FallnBandit,690233,PLAYED_IN
690233:Wiggily,690233,PLAYED_IN
690233:Tuesday,690233,PLAYED_IN
690233:Auto,690233,PLAYED_IN
690233:Fill,690233,PLAYED_IN
690235:V1per,690235,PLAYED_IN
690235:Hard,690235,PLAYED_IN
690235:Insanity,690235,PLAYED_IN
690235:Shoryu,690235,PLAYED_IN
690235:Joey,690235,PLAYED_IN
690235:NintendudeX,690235,PLAYED_IN
690235:OddOrange,690235,PLAYED_IN
690235:Yusui,690235,PLAYED_IN
690235:Lost,690235,PLAYED_IN
690235:Adrian,690235,PLAYED_IN
690237:Shiro,690237,PLAYED_IN
690237:Blaber,690237,PLAYED_IN
690237:Jensen,690237,PLAYED_IN
690237:Sneaky,690237,PLAYED_IN
690237:Smoothie,690237,PLAYED_IN
690237:Ngo,690237,PLAYED_IN
690237:AnDa,690237,PLAYED_IN
690237:Pekin Woof,690237,PLAYED_IN
690237:Erry,690237,PLAYED_IN
690237:JayJ,690237,PLAYED_IN
690249:Brandini,690249,PLAYED_IN
690249:Levi,690249,PLAYED_IN
690249:Linsanity,690249,PLAYED_IN
690249:Rikara,690249,PLAYED_IN
690249:Stunt,690249,PLAYED_IN
690249:Dhokla,690249,PLAYED_IN
690249:Fanatiik,690249,PLAYED_IN
690249:Palafox,690249,PLAYED_IN
690249:Eclipse,690249,PLAYED_IN
690249:Gate,690249,PLAYED_IN
690250:Maxtrobo,690250,PLAYED_IN
690250:Moon,690250,PLAYED_IN
690250:Sun,690250,PLAYED_IN
690250:Piglet,690250,PLAYED_IN
690250:Vulcan,690250,PLAYED_IN
690250:zig,690250,PLAYED_IN
690250:Potluck,690250,PLAYED_IN
690250:bobqin,690250,PLAYED_IN
690250:Benji,690250,PLAYED_IN
690250:Sheep,690250,PLAYED_IN
700291:NintendudeX,700291,PLAYED_IN
700291:OddOrange,700291,PLAYED_IN
700291:Yusui,700291,PLAYED_IN
700291:Lost,700291,PLAYED_IN
700291:Adrian,700291,PLAYED_IN
700291:Ngo,700291,PLAYED_IN
700291:AnDa,700291,PLAYED_IN
700291:Pekin Woof,700291,PLAYED_IN
700291:Erry,700291,PLAYED_IN
700291:JayJ,700291,PLAYED_IN
700295:FallnBandit,700295,PLAYED_IN
700295:Wiggily,700295,PLAYED_IN
700295:Tuesday,700295,PLAYED_IN
700295:Auto,700295,PLAYED_IN
700295:Fill,700295,PLAYED_IN
700295:Shiro,700295,PLAYED_IN
700295:Blaber,700295,PLAYED_IN
700295:Jensen,700295,PLAYED_IN
700295:Sneaky,700295,PLAYED_IN
700295:Smoothie,700295,PLAYED_IN
700299:zig,700299,PLAYED_IN
700299:Potluck,700299,PLAYED_IN
700299:bobqin,700299,PLAYED_IN
700299:Benji,700299,PLAYED_IN
700299:Sheep,700299,PLAYED_IN
