player,win
1002620096:Meteos,0
1002620096:Ryu,0
1002620096:Cody Sun,0
1002620096:aphromoo,0
720222:SkyBart,1
720222:Minerva,1
720222:Vert,1
720222:LUSKKA,1
720222:Professor,1
720222:LEP,0
720222:Chaser,0
720222:Sky,0
720222:Sacy,0
720222:Loop,0
730244:LEP,0
730244:Chaser,0
730244:Sky,0
730244:Sacy,0
730244:Loop,0
730244:SkyBart,1
730244:Minerva,1
730244:Vert,1
730244:LUSKKA,1
730244:Professor,1
730246:Yang,1
730246:Revolta,1
730246:tockers,1
730246:micaO,1
730246:Jockster,1
730246:Tay,0
730246:Shini,0
730246:Envy,0
730246:Absolut,0
730246:RedBert,0
720309:Zantins,0
720309:Ranger,0
720309:dyNquedo,0
720309:TitaN,0
720309:Wos,0
720309:Jisu,1
720309:Shrimp,1
720309:Goku,1
720309:brTT,1
720309:esA,1
1002620109:Solo,0
1002620109:LirA,0
1002620109:Febiven,0
1002620109:Apollo,0
1002620109:Hakuho,0
1002620109:Dardoch,1
1002620109:Huni,1
1002620109:Fenix,1
1002620109:Altec,1
1002620109:Adrian,1
1002620109:Licorice,1
1002620109:Svenskeren,1
1002620109:Goldenglue,1
1002620109:Keith,1
1002620109:Zeyzal,1
1002620109:Dhokla,0
1002620109:Akaadian,0
1002620109:PowerOfEvil,0
1002620109:Arrow,0
1002620109:BIG,0
720906:Lindarang,1
720906:SeongHwan,1
720906:Lava,1
720906:Sangyoon,1
720906:Key,1
720906:SoHwan,0
720906:UmTi,0
720906:Grace,0
720906:Teddy,0
720906:Nova,0
1002620050:Altec,1
1002620050:Dardoch,1
1002620050:Fenix,1
1002620050:Huni,1
1002620050:Adrian,1
1002620050:Flame,0
1002620050:Santorin,0
1002620050:Keane,0
1002620050:WILDTURTLE,0
1002620050:Kwon,0
720321:TitaN,0
720321:Zantins,0
720321:dyNquedo,0
720321:Ranger,0
720321:Wos,0
720321:Jisu,1
720321:Shrimp,1
720321:Goku,1
720321:brTT,1
720321:esA,1
720318:Jisu,0
720318:Shrimp,0
720318:Goku,0
720318:brTT,0
720318:esA,0
720318:Ranger,1
720318:Zantins,1
720318:dyNquedo,1
720318:TitaN,1
720318:Wos,1
720323:Fitz,0
720323:Cariok,0
720323:Anyyy,0
720323:Sarkis,0
720323:Cabu,0
720323:Robo,1
720323:Yampi,1
720323:Brucer,1
720323:Rakin,1
720323:Baiano,1
720332:Brucer,1
720332:Yampi,1
720332:Rakin,1
720332:Robo,1
720332:Baiano,1
720332:Fitz,0
720332:Cariok,0
720332:Anyyy,0
720332:Sarkis,0
720332:Cabu,0
2018-211JD GamingBilibili Gaming:LokeN,0
2018-211JD GamingBilibili Gaming:Clid,0
2018-211JD GamingBilibili Gaming:Yagao,0
2018-211JD GamingBilibili Gaming:LvMao,0
2018-211JD GamingBilibili Gaming:Zoom,0
2018-211JD GamingBilibili Gaming:jinjiao,1
2018-211JD GamingBilibili Gaming:Chieftain,1
2018-211JD GamingBilibili Gaming:Mole,1
2018-211JD GamingBilibili Gaming:road,1
2018-211JD GamingBilibili Gaming:AmazingJ,1
2018-212Bilibili GamingJD Gaming:jinjiao,0
2018-212Bilibili GamingJD Gaming:Chieftain,0
2018-212Bilibili GamingJD Gaming:Mole,0
2018-212Bilibili GamingJD Gaming:road,0
2018-212Bilibili GamingJD Gaming:AmazingJ,0
2018-212Bilibili GamingJD Gaming:LokeN,1
2018-212Bilibili GamingJD Gaming:Clid,1
2018-212Bilibili GamingJD Gaming:Yagao,1
2018-212Bilibili GamingJD Gaming:LvMao,1
2018-212Bilibili GamingJD Gaming:Zoom,1
2018-213JD GamingBilibili Gaming:LokeN,1
2018-213JD GamingBilibili Gaming:Clid,1
2018-213JD GamingBilibili Gaming:Yagao,1
2018-213JD GamingBilibili Gaming:LvMao,1
2018-213JD GamingBilibili Gaming:Zoom,1
2018-213JD GamingBilibili Gaming:jinjiao,0
2018-213JD GamingBilibili Gaming:M1anhua,0
2018-213JD GamingBilibili Gaming:Athena,0
2018-213JD GamingBilibili Gaming:road,0
2018-213JD GamingBilibili Gaming:AmazingJ,0
2018-211Edward GamingFunplus Phoenix:iBOY,1
2018-211Edward GamingFunplus Phoenix:ClearLove,1
2018-211Edward GamingFunplus Phoenix:Scout,1
2018-211Edward GamingFunplus Phoenix:meiko,1
2018-211Edward GamingFunplus Phoenix:ray,1
2018-211Edward GamingFunplus Phoenix:Lwx,0
2018-211Edward GamingFunplus Phoenix:Xinyi,0
2018-211Edward GamingFunplus Phoenix:Cool,0
2018-211Edward GamingFunplus Phoenix:Crisp,0
2018-211Edward GamingFunplus Phoenix:GimGoon,0
2018-212Edward GamingFunplus Phoenix:iBOY,0
2018-212Edward GamingFunplus Phoenix:ClearLove,0
2018-212Edward GamingFunplus Phoenix:Scout,0
2018-212Edward GamingFunplus Phoenix:meiko,0
2018-212Edward GamingFunplus Phoenix:ray,0
2018-212Edward GamingFunplus Phoenix:Lwx,1
2018-212Edward GamingFunplus Phoenix:Xinyi,1
2018-212Edward GamingFunplus Phoenix:Cool,1
2018-212Edward GamingFunplus Phoenix:Crisp,1
2018-212Edward GamingFunplus Phoenix:GimGoon,1
2018-213Edward GamingFunplus Phoenix:iBOY,1
2018-213Edward GamingFunplus Phoenix:ClearLove,1
2018-213Edward GamingFunplus Phoenix:Scout,1
2018-213Edward GamingFunplus Phoenix:meiko,1
2018-213Edward GamingFunplus Phoenix:ray,1
2018-213Edward GamingFunplus Phoenix:Lwx,0
2018-213Edward GamingFunplus Phoenix:Xinyi,0
2018-213Edward GamingFunplus Phoenix:Cool,0
2018-213Edward GamingFunplus Phoenix:Crisp,0
2018-213Edward GamingFunplus Phoenix:GimGoon,0
2018-211Invictus GamingLGD Gaming:JackeyLove,1
2018-211Invictus GamingLGD Gaming:Ning,1
2018-211Invictus GamingLGD Gaming:RooKie,1
2018-211Invictus GamingLGD Gaming:Baolan,1
2018-211Invictus GamingLGD Gaming:Duke,1
2018-211Invictus GamingLGD Gaming:Fdy,0
2018-211Invictus GamingLGD Gaming:Eimy,0
2018-211Invictus GamingLGD Gaming:Yuuki,0
2018-211Invictus GamingLGD Gaming:Newt,0
2018-211Invictus GamingLGD Gaming:Jinoo,0
2018-212LGD GamingInvictus Gaming:Fdy,0
2018-212LGD GamingInvictus Gaming:Eimy,0
2018-212LGD GamingInvictus Gaming:Yuuki,0
2018-212LGD GamingInvictus Gaming:Newt,0
2018-212LGD GamingInvictus Gaming:Jinoo,0
2018-212LGD GamingInvictus Gaming:JackeyLove,1
2018-212LGD GamingInvictus Gaming:Ning,1
2018-212LGD GamingInvictus Gaming:RooKie,1
2018-212LGD GamingInvictus Gaming:Baolan,1
2018-212LGD GamingInvictus Gaming:Duke,1
2018-211Invictus GamingJD Gaming:JackeyLove,1
2018-211Invictus GamingJD Gaming:Ning,1
2018-211Invictus GamingJD Gaming:RooKie,1
2018-211Invictus GamingJD Gaming:Baolan,1
2018-211Invictus GamingJD Gaming:Duke,1
2018-211Invictus GamingJD Gaming:LokeN,0
2018-211Invictus GamingJD Gaming:Clid,0
2018-211Invictus GamingJD Gaming:Yagao,0
2018-211Invictus GamingJD Gaming:LvMao,0
2018-211Invictus GamingJD Gaming:Zoom,0
2018-212Invictus GamingJD Gaming:JackeyLove,0
2018-212Invictus GamingJD Gaming:Ning,0
2018-212Invictus GamingJD Gaming:RooKie,0
2018-212Invictus GamingJD Gaming:Baolan,0
2018-212Invictus GamingJD Gaming:Duke,0
2018-212Invictus GamingJD Gaming:LokeN,1
2018-212Invictus GamingJD Gaming:Clid,1
2018-212Invictus GamingJD Gaming:Yagao,1
2018-212Invictus GamingJD Gaming:LvMao,1
2018-212Invictus GamingJD Gaming:Zoom,1
2018-211Snake EsportsOMG:kRYST4L,0
2018-211Snake EsportsOMG:SofM,0
2018-211Snake EsportsOMG:Guoguo,0
2018-211Snake EsportsOMG:Maestr0,0
2018-211Snake EsportsOMG:Flandre,0
2018-211Snake EsportsOMG:Chelly,1
2018-211Snake EsportsOMG:jiekou,1
2018-211Snake EsportsOMG:icon,1
2018-211Snake EsportsOMG:Five,1
2018-211Snake EsportsOMG:Xiyang,1
2018-212Snake EsportsOMG:kRYST4L,1
2018-212Snake EsportsOMG:SofM,1
2018-212Snake EsportsOMG:Guoguo,1
2018-212Snake EsportsOMG:Maestr0,1
2018-212Snake EsportsOMG:Flandre,1
2018-212Snake EsportsOMG:Chelly,0
2018-212Snake EsportsOMG:jiekou,0
2018-212Snake EsportsOMG:icon,0
2018-212Snake EsportsOMG:Five,0
2018-212Snake EsportsOMG:Xiyang,0
2018-213Snake EsportsOMG:kRYST4L,0
2018-213Snake EsportsOMG:SofM,0
2018-213Snake EsportsOMG:Guoguo,0
2018-213Snake EsportsOMG:Maestr0,0
2018-213Snake EsportsOMG:Flandre,0
2018-213Snake EsportsOMG:Chelly,1
2018-213Snake EsportsOMG:Mountain,1
2018-213Snake EsportsOMG:icon,1
2018-213Snake EsportsOMG:Five,1
2018-213Snake EsportsOMG:Xiyang,1
2018-211JD GamingRoyal Never Give Up:LokeN,0
2018-211JD GamingRoyal Never Give Up:Clid,0
2018-211JD GamingRoyal Never Give Up:Yagao,0
2018-211JD GamingRoyal Never Give Up:LvMao,0
2018-211JD GamingRoyal Never Give Up:Zoom,0
2018-211JD GamingRoyal Never Give Up:Uzi,1
2018-211JD GamingRoyal Never Give Up:Mlxg,1
2018-211JD GamingRoyal Never Give Up:xiaohu,1
2018-211JD GamingRoyal Never Give Up:Ming,1
2018-211JD GamingRoyal Never Give Up:Zz1tai,1
2018-212Royal Never Give UpJD Gaming:Uzi,0
2018-212Royal Never Give UpJD Gaming:Karsa,0
2018-212Royal Never Give UpJD Gaming:xiaohu,0
