src_player,dest_position,relation
730273:PraY,ADC,HAS_POSITION
730273:GorillA,Support,HAS_POSITION
730273:CuVee,Top,HAS_POSITION
730273:Haru,Jungle,HAS_POSITION
730273:Fly,Middle,HAS_POSITION
730273:Ruler,ADC,HAS_POSITION
730273:CoreJJ,Support,HAS_POSITION
730277:Kiin,Top,HAS_POSITION
730277:Spirit,Jungle,HAS_POSITION
730277:Kuro,Middle,HAS_POSITION
730277:Aiming,ADC,HAS_POSITION
730277:TusiN,Support,HAS_POSITION
730277:Thal,Top,HAS_POSITION
730277:Blank,Jungle,HAS_POSITION
730277:Faker,Middle,HAS_POSITION
730277:Bang,ADC,HAS_POSITION
730277:Wolf,Support,HAS_POSITION
730298:Thal,Top,HAS_POSITION
730298:Blank,Jungle,HAS_POSITION
730298:Faker,Middle,HAS_POSITION
730298:Bang,ADC,HAS_POSITION
730298:Wolf,Support,HAS_POSITION
730298:Kiin,Top,HAS_POSITION
730298:Spirit,Jungle,HAS_POSITION
730298:Kuro,Middle,HAS_POSITION
730298:Aiming,ADC,HAS_POSITION
730298:TusiN,Support,HAS_POSITION
730300:Smeb,Top,HAS_POSITION
730300:Rush,Jungle,HAS_POSITION
730300:Ucal,Middle,HAS_POSITION
730300:Deft,ADC,HAS_POSITION
730300:Mata,Support,HAS_POSITION
730300:SoHwan,Top,HAS_POSITION
730300:UmTi,Jungle,HAS_POSITION
730300:Grace,Middle,HAS_POSITION
730300:Teddy,ADC,HAS_POSITION
730300:Nova,Support,HAS_POSITION
730320:SoHwan,Top,HAS_POSITION
730320:UmTi,Jungle,HAS_POSITION
730320:Grace,Middle,HAS_POSITION
730320:Teddy,ADC,HAS_POSITION
730320:Nova,Support,HAS_POSITION
730320:Smeb,Top,HAS_POSITION
730320:Rush,Jungle,HAS_POSITION
730320:Ucal,Middle,HAS_POSITION
730320:Deft,ADC,HAS_POSITION
730320:Mata,Support,HAS_POSITION
730427:Lindarang,Top,HAS_POSITION
730427:SeongHwan,Jungle,HAS_POSITION
730427:Lava,Middle,HAS_POSITION
730427:Sangyoon,ADC,HAS_POSITION
730427:Key,Support,HAS_POSITION
730427:Crazy,Top,HAS_POSITION
730427:Bono,Jungle,HAS_POSITION
730427:Tempt,Middle,HAS_POSITION
730427:Aries,ADC,HAS_POSITION
730427:IgNar,Support,HAS_POSITION
730432:Crazy,Top,HAS_POSITION
730432:Bono,Jungle,HAS_POSITION
730432:Tempt,Middle,HAS_POSITION
730432:Aries,ADC,HAS_POSITION
730432:IgNar,Support,HAS_POSITION
730432:Lindarang,Top,HAS_POSITION
730432:SeongHwan,Jungle,HAS_POSITION
730432:Lava,Middle,HAS_POSITION
730432:Sangyoon,ADC,HAS_POSITION
730432:Key,Support,HAS_POSITION
730434:ADD,Top,HAS_POSITION
730434:Yondu,Jungle,HAS_POSITION
730434:Ian,Middle,HAS_POSITION
730434:MaHa,ADC,HAS_POSITION
730434:Max,Support,HAS_POSITION
730434:Sword,Top,HAS_POSITION
730434:Tarzan,Jungle,HAS_POSITION
730434:Rather,Middle,HAS_POSITION
730434:Viper,ADC,HAS_POSITION
730434:Lehends,Support,HAS_POSITION
730434:Broken Blade,Top,HAS_POSITION
730434:Closer,Jungle,HAS_POSITION
730434:Abbedagge,Middle,HAS_POSITION
730434:Freeze,ADC,HAS_POSITION
730434:Dumbledoge,Support,HAS_POSITION
730434:Hioss,Top,HAS_POSITION
730434:Wisdom,Jungle,HAS_POSITION
730434:Naru,Middle,HAS_POSITION
730434:Rain,ADC,HAS_POSITION
730434:Rogu,Support,HAS_POSITION
730459:Sword,Top,HAS_POSITION
730459:Tarzan,Jungle,HAS_POSITION
730459:Chovy,Middle,HAS_POSITION
730459:Viper,ADC,HAS_POSITION
730459:Lehends,Support,HAS_POSITION
730459:ADD,Top,HAS_POSITION
730459:Yondu,Jungle,HAS_POSITION
730459:Ian,Middle,HAS_POSITION
730459:Pilot,ADC,HAS_POSITION
730459:Motive,Support,HAS_POSITION
1002530085:Odoamne,Top,HAS_POSITION
1002530085:Xerxe,Jungle,HAS_POSITION
1002530085:Nisqy,Middle,HAS_POSITION
1002530085:Kobbe,ADC,HAS_POSITION
1002530085:kaSing,Support,HAS_POSITION
1002530085:Cabochard,Top,HAS_POSITION
1002530085:Gilius,Jungle,HAS_POSITION
1002530085:Jiizuke,Middle,HAS_POSITION
1002530085:Attila,ADC,HAS_POSITION
1002530085:Jactroll,Support,HAS_POSITION
1002530088:Smittyj,Top,HAS_POSITION
1002530088:Shook,Jungle,HAS_POSITION
1002530088:Selfie,Middle,HAS_POSITION
1002530088:Sheriff,ADC,HAS_POSITION
1002530088:promisq,Support,HAS_POSITION
1002530088:Ruin,Top,HAS_POSITION
1002530088:Djoko,Jungle,HAS_POSITION
