src_player,dest_champion,relation
720662:Blossom,Rengar,HAS_CHAMPION
720662:Faker,Lulu,HAS_CHAMPION
720662:Bang,Ezreal,HAS_CHAMPION
720662:Wolf,Kennen,HAS_CHAMPION
720686:Thal,Karthus,HAS_CHAMPION
720686:Blossom,Master Yi,HAS_CHAMPION
720686:Faker,Taric,HAS_CHAMPION
720686:Bang,Ezreal,HAS_CHAMPION
720686:Wolf,Shen,HAS_CHAMPION
720686:CuVee,Chogath,HAS_CHAMPION
720686:Haru,Camille,HAS_CHAMPION
720686:Fly,Braum,HAS_CHAMPION
720686:Ruler,Ashe,HAS_CHAMPION
720686:CoreJJ,Tahm Kench,HAS_CHAMPION
690233:PieCakeLord,Shen,HAS_CHAMPION
690233:MikeYeung,Trundle,HAS_CHAMPION
690233:Ablazeolive,Yasuo,HAS_CHAMPION
690233:MrRallez,KaiSa,HAS_CHAMPION
690233:Shady,Rakan,HAS_CHAMPION
690233:FallnBandit,Dr. Mundo,HAS_CHAMPION
690233:Wiggily,Camille,HAS_CHAMPION
690233:Tuesday,Renekton,HAS_CHAMPION
690233:Auto,Lucian,HAS_CHAMPION
690233:Fill,Leona,HAS_CHAMPION
690235:V1per,Ornn,HAS_CHAMPION
690235:Hard,Trundle,HAS_CHAMPION
690235:Insanity,Irelia,HAS_CHAMPION
690235:Shoryu,KaiSa,HAS_CHAMPION
690235:Joey,Taric,HAS_CHAMPION
690235:NintendudeX,Shen,HAS_CHAMPION
690235:OddOrange,Camille,HAS_CHAMPION
690235:Yusui,Lucian,HAS_CHAMPION
690235:Lost,Mordekaiser,HAS_CHAMPION
690235:Adrian,Nautilus,HAS_CHAMPION
690237:Shiro,Riven,HAS_CHAMPION
690237:Blaber,Trundle,HAS_CHAMPION
690237:Jensen,Zoe,HAS_CHAMPION
690237:Sneaky,Brand,HAS_CHAMPION
690237:Smoothie,Alistar,HAS_CHAMPION
690237:Ngo,Ornn,HAS_CHAMPION
690237:AnDa,Nocturne,HAS_CHAMPION
690237:Pekin Woof,Lulu,HAS_CHAMPION
690237:Erry,Mordekaiser,HAS_CHAMPION
690237:JayJ,Pyke,HAS_CHAMPION
690249:Brandini,Gragas,HAS_CHAMPION
690249:Levi,Master Yi,HAS_CHAMPION
690249:Linsanity,Taric,HAS_CHAMPION
690249:Rikara,Vladimir,HAS_CHAMPION
690249:Stunt,Nautilus,HAS_CHAMPION
690249:Dhokla,Jayce,HAS_CHAMPION
690249:Fanatiik,Trundle,HAS_CHAMPION
690249:Palafox,Ziggs,HAS_CHAMPION
690249:Eclipse,Ornn,HAS_CHAMPION
690249:Gate,Fiddlesticks,HAS_CHAMPION
690250:Maxtrobo,Singed,HAS_CHAMPION
690250:Moon,Nocturne,HAS_CHAMPION
690250:Sun,Karma,HAS_CHAMPION
690250:Piglet,Lucian,HAS_CHAMPION
690250:Vulcan,Thresh,HAS_CHAMPION
690250:zig,Ornn,HAS_CHAMPION
690250:Potluck,Xin Zhao,HAS_CHAMPION
690250:bobqin,Lulu,HAS_CHAMPION
690250:Benji,Ezreal,HAS_CHAMPION
690250:Sheep,Alistar,HAS_CHAMPION
700291:NintendudeX,Ornn,HAS_CHAMPION
700291:OddOrange,Trundle,HAS_CHAMPION
700291:Yusui,Yasuo,HAS_CHAMPION
700291:Lost,Ezreal,HAS_CHAMPION
700291:Adrian,Rakan,HAS_CHAMPION
700291:Ngo,Singed,HAS_CHAMPION
700291:AnDa,Irelia,HAS_CHAMPION
